	day0-WT_1	day0-WT_2	day1-WT_1	day1-WT_2	day0-KO_1	day0-KO_2	day1-KO_1	day1-KO_2
1700128F08Rik	0	0	0	0	0	0	0	0
1700129C05Rik	0	0	0	0	0	0	0	0
1810006J02Rik	0	0	0	0	0.07	0	0	0
1810007C17Rik	0	0	0	0	0	0	0	0
1810007D17Rik	0.16	0	0	0	0	0	0	0
1810008I18Rik	0	0	0	0	0	0.39	0	0
1810009A15Rik	66.73	82.33	108.68	114.63	104.08	122.73	112.55	108.08
1810009J06Rik	0	0	0	0	0	0	0	0
1810010D01Rik	0.5	0.75	0.7	1.52	0.14	0.28	0.47	0.84
1810010H24Rik	0.52	1.59	2	1.63	0.8	1.07	3.53	1.99
1810011H11Rik	0.61	0.93	2.07	2.73	0.25	0.7	2.3	3.08
1810011O10Rik	4.53	5.34	5.17	7.21	6.34	7.46	5.92	6.96
1810012K16Rik	0	0.46	0	0.25	0	0	0.86	0.26
1810013A23Rik	0	0	0	0.35	0	0	0.59	0
1810013L24Rik	32.28	29.38	36.45	33.02	37.07	33.67	33.88	33.11
1810014B01Rik	1.67	1.82	2.02	2	1.44	1.34	1.24	2.25
1810018F18Rik	0	0	0	0	0	0	0	0
1810019D21Rik	0.52	0.75	1.29	1.67	0.27	0.25	1.11	1.8
1810020O05Rik	0	0	0	0.12	0	0.13	0.1	0
1810021B22Rik	1.11	2.05	3.32	3.29	1.41	0.84	2.25	2.07
1810022K09Rik	84.72	105.05	152.86	158.29	146.21	150.51	149.19	150.71
1810024B03Rik	0.27	0.18	0.3	0.2	0	0.2	0.08	0
1810026B05Rik	4.73	4.18	4.28	4.99	3.1	3.05	3.49	3.94
1810026J23Rik	32.75	29.9	45.83	45.65	30.87	30.14	41	44.36
1810030O07Rik	31.79	30	32.97	32.69	37.7	35.1	32.08	33.2
1810032O08Rik	26.76	30.36	26.15	26.63	19.92	24.19	29.04	27.48
1810034E14Rik	2.3	2.51	0.35	0.97	2.51	2.33	0.99	1.18
1810037I17Rik	128.04	117.68	69.95	75.87	92.73	88.7	81.15	67.37
1810041H14Rik	0.48	0.48	0.54	0	0.52	0.54	0.9	1.07
1810041L15Rik	0.09	0.09	0.1	0.08	0.2	0.17	0.17	0.14
1810043G02Rik	11.71	13.35	10.84	13.45	11.41	10.59	11.53	12.56
1810043H04Rik	54.19	56.24	33.26	41.74	37.94	37.12	33.05	39.68
1810044D09Rik	2.35	2.89	3.22	5.5	2.56	2.37	3.91	1.46
1810046K07Rik	0	0	0	0	0	0	0	0
1810053B23Rik	0	0	0	0	0	0	0	0
1810055G02Rik	30.16	32.47	58.33	51.83	63.62	66.27	49.05	52.57
1810058I24Rik	95.87	112.65	82.43	90.68	79.99	79.02	83.1	93
1810062G17Rik	1.54	1.04	1.73	2.71	1.54	1.31	2.52	2
1810062O18Rik	1.22	0.35	2.67	1.59	0	0.54	1.53	3.12
1810063I02Rik	0	0	0	0	0	0	0	0
1810064F22Rik	0	0	0	0	0	0.16	0	0
1810065E05Rik	0	0.13	0	0	0	0	0	0
2010001A14Rik	3.42	3.45	10.3	6.91	2.72	3.35	8.16	9.38
2010001E11Rik	0.05	0	0.22	0.27	0.11	0.11	0.32	0.05
2010003K11Rik	0.1	0.1	0.11	0.33	0	0	0.28	0.22
2010005H15Rik	0.24	0.24	0.53	0.26	0.36	0.27	0.44	0.26
2010009K17Rik	0	0	0.24	0	0.24	0	0	0.48
2010010A06Rik	0	0	0	0.27	0	0	0	0
2010012O05Rik	8.83	10.3	5.61	5.44	9.7	8.11	4.5	5.3
2010016I18Rik	0	0.13	0	0	0.08	0.18	0.07	0
2010106C02Rik	0	0	0	0	0	0	0	0.21
2010106E10Rik	0	0	0.1	0.2	0.1	0	0	0
2010107E04Rik	378.97	356.39	230.56	245.93	250.5	238.23	287.95	234.88
2010107G12Rik	0.05	0.16	0.17	0.11	0.06	0.06	0.1	0.17
2010107G23Rik	0.13	0.26	0	0.07	0.64	0.15	0.18	0.22
2010109A12Rik	0	0	0.25	0	0	0.51	0.21	0
2010109I03Rik	0.18	0.06	0	0.07	0	0.13	0.11	0.4
2010111I01Rik	20.47	22	5.69	6.09	23.11	20.75	8.85	9.75
2010204K13Rik	4.07	4.11	1.52	0.95	5.43	2.82	1.48	2.02
2010300C02Rik	0.13	0.05	0.06	0.03	0.27	0.11	0.05	0.06
2010308F09Rik	0.54	0	0	0	0	0	0	0
2010310C07Rik	0	0.14	0	0	0.3	0.47	0	0
2010315B03Rik	8.25	8.46	13.69	13.68	8.36	8.33	12.77	12.93
2010320M18Rik	14.4	13.56	17.77	14.75	9.95	11.8	17.83	14.29
2200002D01Rik	11.9	13.26	0.56	2.2	10.28	14.07	2.09	3.32
2200002J24Rik	0	0	0	0	0	0	0	0
2210010C04Rik	0	0	0	0	0	0	0	0
2210011C24Rik	0.13	0.13	0.29	0.29	0.14	0.15	0.36	0.43
2210013O21Rik	61.08	58.18	94.7	82.64	48.24	49.84	86.67	91.21
2210015D19Rik	6.94	7.64	6.8	6.75	5.95	6.6	6.17	6.39
2210016F16Rik	42.1	40.12	29.75	30.63	31.84	34.78	31.21	28.09
2210016L21Rik	46	47.98	44.26	45.64	46.44	42.71	42.36	44.35
2210018M11Rik	11.63	12.37	15.19	14.76	19	15.58	13.42	15.67
2210019I11Rik	0	0	0	0	0	0	0	0
2210039B01Rik	0.67	0.45	0.75	0.37	0.36	0.38	0.21	0.5
2210404E10Rik	0	0	0	0	0	0	0	0
2210404O09Rik	3.5	4.81	3.67	3.17	5.07	3.99	3.22	3.54
2210406O10Rik	0.11	0.46	0.38	0.75	0.12	0.26	0.99	0.76
2210407C18Rik	0	0	0	0.15	0	0	0	0
2210408F21Rik	8.81	8.66	11.24	11.74	7.11	7.81	9.38	11.34
2210408I21Rik	2.83	2.99	5.43	5.23	5.71	3.91	3.93	4.97
2210409D07Rik	0	0	0	0	0.31	0	0	0
2210409E12Rik	0	0	0	0	0	0	0	0
2210414B05Rik	0	0	0	0	0	0	0	0
2210416O15Rik	0.31	0.23	0.09	0	0.17	0	0.14	0
2210417A02Rik	0	0	0	0	0	0	0.21	0.25
2210420H20Rik	0	0	0	0	0	0	0	0
2300002M23Rik	0	0	0	0	0	0	0	0
2300003K06Rik	0	0	0	0	0	0	0	0
2300005B03Rik	0	0.28	0	0	0	0	0	0
2300009A05Rik	7.78	7.03	13.79	13.65	7.6	8.37	12.09	9.84
2310001H17Rik	3.31	4.68	2.97	4.23	5.79	3.57	4.69	4.44
2310001K24Rik	1.15	0.88	3.7	3.2	0.91	0.33	2.1	3.82
2310002D06Rik	0	0	0	0	0	0	0	0
2310002F09Rik	0.04	0	0	0	0.14	0	0.04	0
2310002L09Rik	0	0	0	0	0	0	0	0
2310003N18Rik	0	0	0	0	0	0	0	0
2310005A03Rik	0	0	0	0	0	0	0	0
2310005E17Rik	0	0	0	0	0	0	0	0
2310007B03Rik	0.24	0.15	0	0	0.32	0.33	0.05	0.05
2310008N11Rik	0.44	0	0	0	0	0	0.41	0
2310009A05Rik	25.68	27.73	36.3	32.81	26.07	28.56	40.18	32.12
2310009B15Rik	22.9	18.96	19.63	20.39	17.92	16.91	22.06	17.13
2310010G23Rik	0.89	1.01	2	1.48	1.94	0.63	0.94	0.99
2310010J17Rik	2.11	3.55	6.71	3.13	2.31	2	2.31	2.75
2310011J03Rik	45.57	47.08	37.68	35.73	37.76	43.56	38.25	37.36
2310015A10Rik	1.66	1.95	2.32	2.47	2.11	1.45	2.82	2.59
2310015D24Rik	0	0	0	0	0	0	0	0
2310016D03Rik	0	0	0	0	0	0	0	0
2310020H05Rik	0	0	0	0	0	0	0	0.37
2310022A10Rik	11.4	13.05	11.53	11.98	14.58	15.21	14.34	13.32
2310022B05Rik	188.81	166.99	53.51	54.42	149.51	139.5	48.73	52.34
2310030A07Rik	0	0	0	0	0.22	0	0	0
2310030G06Rik	1.1	1.21	0.31	0.61	2.81	1.46	0.95	0.92
2310033P09Rik	21.71	29.14	27.65	28.3	18.97	21.08	28.52	28.76
2310034C09Rik	0	0	0	0	0	0	0	0
2310034G01Rik	1.8	1.67	2.36	2.17	0.49	0.17	1.55	1.34
2310034O05Rik	0	0	0	0	0	0	0	0
2310035C23Rik	16.87	13.86	17.29	15.78	17.02	14.93	15.76	16.03
2310036O22Rik	258.63	280.2	183.12	195.46	212.09	236.87	220.77	179.36
2310039H08Rik	18.73	20.46	25.67	19.1	16.76	18.47	25.46	21.27
2310039L15Rik	0	0	0	0.21	0	0	0	0
2310040G24Rik	0.77	0.77	0.51	0.25	1.23	1.28	0.63	0.34
2310043L19Rik	0.34	0	0	0	0.38	0	0.64	0.77
2310043O21Rik	0	0	0	0	0	0	0	0
2310045N01Rik	22.48	26.26	42.03	43.13	27.65	25.44	43.11	39.1
2310045n01rik-mef2b	0	0	0	0	0	0	0	0
2310047M10Rik	23.23	25.45	25.71	25.18	18.57	15.79	27.99	23.1
2310050C09Rik	0	0	0	0	0	0	0	0
2310057J18Rik	0	0	0	0	0	0	0	0
2310057M21Rik	9.63	10.63	12.15	9.36	13.19	10.41	9.26	11.31
2310057N15Rik	0	0	0	0	0	0	0	0
2310061I04Rik	19.24	18.3	19.52	17.08	19.89	23.5	16.73	18.2
2310061N02Rik	0	0	0	0	0	0	0	0
2310065F04Rik	0	0	0	0	0	0	0	0
2310067B10Rik	13.1	12.81	10.59	9.4	13.64	11.6	9.82	9.72
2310068J16Rik	1	1.34	1.78	1.23	0.62	1.4	1.77	1.12
2310069B03Rik	0	0.06	0.07	0	0.27	0.55	0	0
2310069G16Rik	0	0.14	0	0.15	0	0	0.13	0
2310075C17Rik	0	0	0	0	0	0	0	0
2310079G19Rik	0	0	0	0	0	0	0	0
2310081J21Rik	0.69	2.55	0.26	0.77	0.5	0	0.22	0.51
2400006E01Rik	0	0	0	0	0	0	0	0
2410002F23Rik	35.44	33.66	45.81	49.86	43.89	43.33	41.15	44.54
2410003L11Rik	0	0.2	0	0	0	0.23	0.19	0
2410004B18Rik	41.1	37.39	31.54	28.32	34.71	38.66	31.02	29.93
2410004I01Rik	0	0	0	0	0	0	0	0
2410004P03Rik	0.13	0.39	0.43	0.14	0.14	0	0.12	0.36
2410006H16Rik	275.48	318.33	649.8	663.16	269.47	285.18	693.9	633.87
2410012E07Rik	0	0	0	0	0	0	0	0
2410015M20Rik	128.94	127.41	141.63	159.15	103.91	125.9	160.8	144.34
2410016O06Rik	16.44	14.97	18.76	17.63	14.54	13.67	16.02	15.72
2410017I17Rik	0.07	0	0	0	0	0.08	0.07	0
2410018L13Rik	4.16	2.96	3.3	1.7	3.46	2.48	2.83	2.71
2410021H03Rik	0.47	0.63	0.18	0.35	1.19	0.18	0	0.35
2410089E03Rik	13.76	11.54	11.28	9.84	13.82	11.21	10.19	10.65
2410124H12Rik	0	0	0	0	0	0	0	0
2410127L17Rik	40.17	34.53	37.61	37.65	46.27	41.53	38.22	41.18
2410131K14Rik	14.63	13.43	10.67	10.33	12.99	12.76	9.88	10.99
2410137M14Rik	0.14	0	0	0	0	0	0	0
2410141K09Rik	0	0	0	0	0	0	0.07	0
2500002B13Rik	1.32	1.93	0.99	1.71	2.1	1.5	1.44	1.23
2500004C02Rik	1.47	1.43	2.44	1.9	1.67	1.74	2.81	2.89
2510002D24Rik	14.46	13.38	8.63	9.06	9.51	10.31	9.9	9.42
2510003B16Rik	0.94	0.26	0.33	0	1.1	0	0.64	0
2510009E07Rik	19.08	17.98	21.03	19.86	18.52	16.96	18.33	19.61
2510039O18Rik	67.82	56.9	56.1	59.31	56.87	60.77	56.98	62.16
2610001J05Rik	32.77	35.83	36	38.82	39.09	35.92	38.26	40.21
2610002M06Rik	7.56	7.7	6.49	6.28	9.89	8.7	6.61	7.27
2610005L07Rik	25.6	21.81	31.06	29.01	27.02	26.28	27.31	27.84
2610008E11Rik	16.97	16.86	14.72	16.67	14.01	13.8	13.45	17.19
2610015P09Rik	4.06	4.73	7.25	7.31	4.4	3.72	7.1	6.48
2610016A17Rik	1.07	1.9	3.61	3.28	0.29	1.22	2.77	4.5
2610020C07Rik	1.65	1.24	2.16	1.89	1.48	1.55	1.99	2.43
2610020H08Rik	6.17	5.3	7.33	5.73	5.17	4.36	5.7	5.52
2610027K06Rik	0.05	0.05	0	0.17	0.06	0.11	0.09	0.23
2610028E06Rik	0.06	0	0	0	0	0	0.06	0
2610028H24Rik	0	0	0	0	0	0	0	0
2610035D17Rik	3.75	3.48	4.21	3.7	3.43	2.75	3.63	4.05
2610035F20Rik	0	0	0	0	0	0	0	0.11
2610037D02Rik	0	0.03	0	0	0	0	0.06	0.07
2610042L04Rik	0.11	0.3	0	0.15	0.17	0.31	0.09	0.16
2610044O15Rik8	8.89	8.02	8.84	7.42	6.4	6.08	8.15	9.58
2610100L16Rik	0	0	0	0	0	0	0	0
2610203C22Rik	0.64	0.37	0.21	0.2	1.1	0.83	1.12	0.31
2610206C17Rik	0	0	0	0.07	0.14	0.22	0.12	0.22
2610301B20Rik	16.43	16.37	17.96	20.41	17.02	16.68	20.36	21.29
2610305D13Rik	3.12	3.93	1.83	1.48	4.22	4.11	1.53	1.91
2610306M01Rik	6.04	4.85	2.13	1.49	4.15	4.44	2.41	2.12
2610307P16Rik	0.23	0.49	0.05	0.15	0.39	0.25	0.17	0.4
2610316D01Rik	0.25	0.13	0	0.28	0	0.14	0.36	0.42
2610318N02Rik	0.18	0.36	0	0.2	0.2	0.51	0.34	0.3
2610507B11Rik	69.2	58.31	89.23	81.22	72.59	66.33	79.19	84.29
2610507I01Rik	4.66	5.55	5.06	5.85	4.14	4.52	4.9	5.29
2610524H06Rik	31.18	32.21	23.22	26.42	27.57	24.89	27.71	23.67
2610528A11Rik	0.63	0	1.24	1.05	0.34	0.18	1.47	0.35
2610528J11Rik	0	0	0	0	0	0	0	0
2700029M09Rik	40.26	39.26	30.94	36.12	40.35	45.57	32.28	32.21
2700038G22Rik	3.19	3.65	4.92	5.6	4.68	4.29	4.19	4.04
2700046A07Rik	0	0	0	0	0	0.06	0	0.06
2700046G09Rik	1.58	2.28	1.92	2.74	1.57	1.79	2.5	1.76
2700049A03Rik	4.98	4.04	7.56	6.66	5.69	4.65	6.34	7.44
2700054A10Rik	0.26	0.18	0.18	0.14	0.17	0.32	0.15	0.03
2700060E02Rik	148.31	172.6	201.62	223.16	170.04	175.58	207.66	214.05
2700062C07Rik	19.72	22.73	24.13	21.41	20.18	18.05	22.99	20.9
2700069I18Rik	3.79	3.52	2.21	2.19	3.31	1.89	1.7	2.03
2700070H01Rik	0.58	0.45	0.14	0.14	0.07	0.73	0.12	0.14
2700081O15Rik	22.16	22.25	21.31	19.91	23.02	21.88	19.39	19.87
2700089I24Rik	0.18	0.25	0.21	0.07	0.8	0.21	0.11	0.07
2700094K13Rik	158.37	171.53	56.54	59.63	119.36	140.32	84.7	62.98
2700097O09Rik	7.18	6.07	7.99	6.53	7.24	5.65	6.26	7.11
2700099C18Rik	11.94	10.84	8.23	9.15	10.99	8	8.87	9.4
2810001G20Rik	20.64	17.55	9.46	12.25	11.19	12.22	12.28	14.35
2810002D19Rik	7.32	5.85	7.95	7.03	7.4	7.26	9.07	9.36
2810004N23Rik	52.6	54.9	76.58	83.67	64.21	70.94	77.1	81.19
2810006K23Rik	10.67	11.51	16.36	13.26	9.99	10.46	13.04	13.32
2810013P06Rik	5.82	4.38	6.84	6.77	6.71	6.54	6.64	6.81
2810021J22Rik	3.39	2.47	3.84	3.06	2.63	2.88	3.49	3.95
2810025M15Rik	28.76	27.46	19.32	21.04	25.14	29.87	21.47	18
2810029C07Rik	0.86	0.75	0.45	0.76	0.44	0.58	0.64	0.57
2810032G03Rik	2.18	2.74	5.8	6.75	2.28	2.88	4.67	4.86
2810047C21Rik1	3.39	2.99	3.79	2.87	3.28	4.23	4.03	3.34
2810049E08Rik	0	0	0	0	0	0	0	0
2810403A07Rik	26.27	30.8	32.93	33.46	32.6	28.93	31.31	33.84
2810403D21Rik	1.27	1.4	1.55	1.66	1.13	0.65	1.08	1.93
2810404M03Rik	0	0	0	0	0.1	0	0	0
2810405F15Rik	0.07	0.07	0.41	0.16	0.16	0.17	0	0.16
2810408A11Rik	1.81	2.03	0.83	1.34	0.81	0.38	1.13	1.05
2810408I11Rik	8.57	10.51	16.58	16.42	15.4	13.53	14.95	18.95
2810410L24Rik	2.1	2.45	1.11	1.46	2.08	1.34	2.09	1.54
2810417H13Rik	63.15	58.9	60.07	60.25	70.74	69.33	66.37	68.55
2810428I15Rik	132.94	156.64	59.9	59.31	84.2	97.14	67.96	56.14
2810429I04Rik	0.63	0.42	0.71	0.23	0.46	0.24	0	0
2810433D01Rik	0.85	1.12	0	0	1.3	1.45	0	0
2810442N19Rik	0.13	0.26	0.14	0	0.69	0.14	0	0
2810454H06Rik	0.51	0.51	0.57	0.69	0.38	0.93	0.77	0.74
2810459M11Rik	0	0.03	0	0	0.04	0	0	0
2810468N07Rik	3.37	3.48	1.79	2.24	2.76	1.53	2.29	1.88
2810471M01Rik	0	0	0	0	0.08	0	0	0
2810474O19Rik	22.6	21.39	27.36	25.32	28.07	23.65	23.81	27.44
2900005J15Rik	1.64	1.05	2.09	1.95	0.96	0.81	1.95	1.47
2900008C10Rik	1	0.93	0.28	0.56	1.46	1.8	0.47	0.65
2900009J06Rik	1.1	0	2.78	1.83	1.5	0.62	1.54	2.13
2900011O08Rik	0.05	0.05	0.05	0.21	0	0	0	0.11
2900026A02Rik	13.67	11.69	1.55	1.14	17.47	16.16	1.92	1.89
2900041M22Rik	1.94	2.05	0.09	0.28	1.29	2.01	0.63	0.19
2900052N01Rik	0	0	0	0	0	0	0	0
2900055J20Rik	0	0	0.18	0	0	0	0	0
2900057B20Rik	0	0.11	0	0	0	0.26	0.21	0
2900060B14Rik	1.23	0.21	1.15	2.28	0.45	0.7	1.92	2.29
2900076A07Rik	3.44	2.92	4.94	5.35	2.4	2.97	3.74	5.53
2900079G21Rik	0	0	0	0	0	0	0	0
2900092C05Rik	0	0	0	0	0	0	0	0
2900092D14Rik	0.04	0.04	0	0	0.04	0	0	0
2900097C17Rik	181.64	144.1	185.86	190.19	153.18	139.69	181.61	192.4
3000002C10Rik	2.41	2.79	6.4	3.66	2.53	2.73	4.59	3.58
3010001F23Rik	2.13	1.89	2.27	1.79	1.32	0.61	1.5	0.9
3010026O09Rik	4.53	5.69	8.47	7.38	3.96	5.03	7.64	7.53
3100003L05Rik	0	0	0	0	0	0	0	0
3110001I22Rik	3.35	3.59	3.21	2.79	3.28	3.33	2.81	2.73
3110002H16Rik	15.49	16.04	16.25	14.99	17.66	15.89	17.05	18.2
3110009E18Rik	3.82	2.31	4.65	4.24	2.78	1.8	3.88	2.32
3110009F21Rik	0.07	0	0	0	0	0	0	0
3110015C05Rik	0	0	0	0	0	0	0	0
3110021A11Rik	0.57	0	0	0.95	0.78	0.32	0.4	0.96
3110021N24Rik	3.71	2.49	4.23	3.16	4.11	2.8	2.72	3.24
3110035E14Rik	0	0.03	0	0	0	0.04	0	0
3110039I08Rik	50.07	51.07	35.57	36.99	59.35	56.3	34.34	41.03
3110039M20Rik	0	0	0	0.15	0	0	0.13	0
3110040N11Rik	27.83	31.4	26.91	30.3	23.94	24.42	28.25	34.6
3110043O21Rik	14.15	11.65	29.52	29.34	15.37	15.05	26.87	28.39
3110045C21Rik	1.12	1.54	2.99	4.76	2.12	1.85	4.03	4.34
3110052M02Rik	2.07	2.54	2.43	3.02	2.22	2.12	3.07	2.92
3110056K07Rik	5.24	5.5	6.01	5.69	4.85	5.4	6.31	7.8
3110057O12Rik	3.73	2.84	5.99	6.91	4.22	3.93	5.02	7.35
3110062M04Rik	6.1	7.91	7.57	7.57	5.55	7.14	8.14	9.29
3110070M22Rik	1.58	2.38	3.27	2.78	1.8	2.2	2.47	2.76
3110079O15Rik	0	0	0	0	0	0	0	0
3110082I17Rik	18.65	16.48	11.46	10.49	19.26	19.58	14.79	12.18
3110082J24Rik	0.57	0.77	0.66	0.2	1.17	1.71	0.48	0.21
3110099E03Rik	0	0.04	0	0.05	0.05	0	0	0
3200001D21Rik	0.05	0	0.11	0.27	0.11	0.17	0.05	0
3300002I08Rik	2.06	2.39	4.5	4.23	3.15	2.88	4.91	3.71
3300002P13Rik	0.11	0.21	1.66	1.52	0.58	0.12	0.49	0.71
3300005D01Rik	17.42	15.37	1.75	1.41	23.49	29.76	2.01	2.93
3425401B19Rik	0.86	0.59	0.09	0.07	1.41	1.47	0.42	0.44
3632451O06Rik	16.38	17.86	17.6	19.44	16.82	15.12	18.46	19.77
3632454L22Rik	0	0.03	0.07	0.1	0	0.04	0.09	0.03
3830403N18Rik	1.39	0.64	0.76	1.07	1.12	1.95	0.84	1.42
3830406C13Rik	16.67	18.98	17.87	18.24	18.25	20.45	17.64	18.07
3830408C21Rik	1.06	1.84	1.91	1.5	1.22	0.93	1.76	1.77
3830417A13Rik	0.27	0.34	0	0.23	0.3	0.77	0.32	0.08
3830432H09Rik	0	0.14	0	0	0	0	0.04	0
3930402G23Rik	0	0	0.35	0.34	0.13	0.18	0.33	0.65
4430402I18Rik	0.73	1.53	0.49	0.48	1.34	0.5	0.36	0.85
4631405J19Rik	0.28	0.09	0	0.21	0	0	0	0.1
4632404H12Rik	1.08	0.94	1.17	1.82	1.14	1.27	1.4	1.21
4632415L05Rik	6.14	5.01	5.51	5.81	5.36	4.79	4.93	5.64
4632427E13Rik	2.35	4.37	4.05	3.01	0.98	2.87	2.37	2.42
4632428C04Rik	0.23	0.23	0.36	0.15	0.1	0.36	0.34	0.31
4632428N05Rik	17.5	16.48	17.41	16.11	14.8	12.89	20.71	21.6
4732416N19Rik	0.72	0.92	1.26	0.33	0.43	1.1	0.4	0
4732456N10Rik	0	0.04	0	0	0.05	0.15	0	0
4732471J01Rik	0.2	0.42	0.36	0.46	0.29	1.03	0.27	0.44
4732490B19Rik	0.05	0	0.05	0	0	0	0.04	0.1
4732491K20Rik	0.52	0.84	0.16	0.5	0.76	0.75	0.32	0.31
4831407H17Rik	0	0	0	0.11	0.11	0	0.18	0
4831440E17Rik	0.33	0.16	0.84	0.78	0.2	0.16	0.74	0.73
4833411C07Rik	0.19	0.38	0.11	0.21	0	0.11	0.27	0.32
4833412C05Rik	1.91	3.65	0.12	0.24	2.79	3.74	0.1	0.12
4833415N18Rik	0	0.23	0.13	0.13	0.38	0.66	0	0
4833417C18Rik	0.52	0.26	0.77	0.77	0.38	0.39	0.65	0.48
4833418N02Rik	3.76	2.31	2.07	2.05	3.78	2.93	2.9	2.39
4833419F23Rik	1.2	2.82	1.04	0.3	2.47	3.62	0.62	1.34
4833420G17Rik	19.81	21.93	26.23	27.09	20.34	21.1	27.58	28.56
4833422C13Rik	1.21	1.39	1.22	0.87	4.07	2.8	1.44	1.08
4833422M21Rik	0	0	0	0	0	0	0	0
4833423E24Rik	0	0	0	0	0	0	0	0
4833427F10Rik	0.08	0	0	0	0.08	0.17	0.07	0
4833427G06Rik	1.68	1.85	0.34	0.85	1.84	1.39	0.43	0.68
4833428L15Rik	0	0	0	0	0	0	0	0
4833439L19Rik	63.08	60.7	74.84	76.7	76.37	70.21	75.04	80.43
4921501E09Rik	0	0	0	0	0	0	0	0
4921504A21Rik	0.32	0.38	0.48	0.3	0.41	0.55	0.15	0.3
4921504E06Rik	0	0	0	0	0	0	0	0.06
4921506M07Rik	0	0	0	0	0.17	0	0	0.09
4921507L20Rik	0.44	0.37	0.41	0.48	0.95	0.41	0.27	0.41
4921507P07Rik	0	0	0.05	0.11	0	0.05	0.09	0.11
4921508D12Rik	0	0	0	0	0	0	0	0
4921509C19Rik	0	0	0	0	0	0	0	0
4921509O07Rik	0	0.04	0	0	0	0.05	0	0.05
4921511C10Rik	0	0	0	0.26	0	0.09	0.07	0.09
4921511C20Rik	0	0	0	0	0	0	0	0
4921511H03Rik	0	0	0	0	0	0	0	0
4921511I17Rik	0	0	0	0.19	0	0	0.16	0
4921511M17Rik	0	0	0	0	0	0	0	0
4921513I03Rik	0.14	0.14	0	0.08	0.16	0.16	0.13	0.08
4921515E04Rik	0	0	0	0	0	0	0	0
4921517D22Rik	0	0	0.04	0	0	0.04	0	0
4921518K17Rik	0	0	0	0	0	0	0	0
4921524J17Rik	32.88	35.84	37.49	44.44	43.82	44.35	36.82	39.63
4921524L21Rik	0	0	0	0	0	0	0	0
4921525O09Rik	0.5	0.54	0.04	0.07	0.66	0.84	0.16	0.04
4921529L05Rik	0	0	0	0	0	0.08	0	0
4921530L21Rik	0	0	0	0	0	0	0	0
4921531C22Rik	2.58	2.72	1.51	2.08	2.49	2.99	1.87	1.57
4921531P14Rik	0	0	0	0	0	0	0	0
4921533I20Rik	0	0	0	0	0	0	0	0
4921534H16Rik	0	0	0	0	0	0	0	0
4921536K21Rik	0.55	0.43	0.62	0.42	0.6	0.48	0.91	0.9
4921539E11Rik	0	0.09	0	0	0	0	0	0.05
4922502D21Rik	0	0	0	0	0	0	0	0
4922502H24Rik	0	0	0	0	0	0	0	0
4922502N22Rik	0	0.1	0	0	0	0	0	0
4930401C15Rik	0	0	0	0	0	0	0	0
4930401O10Rik	0	0	0	0	0	0	0	0
4930401O12Rik	0	0	0	0	0	0	0	0
4930402F06Rik	0	0	0	0	0	0	0	0
4930402F11Rik	0	0	0	0	0	0	0	0
4930402H24Rik	30.52	27.25	23.89	20.51	25.65	25.52	21.99	22.53
4930402K13Rik	0	0	0	0	0	0	0	0
4930404A05Rik	0	0	0	0	0	0	0	0
4930404H11Rik	0	0	0	0	0	0	0	0
4930404I05Rik	0.95	0.84	1.33	1.58	0.39	0.81	1	0.66
4930404N11Rik	17.8	15.87	10.86	13.82	13.02	12.16	13.76	12.55
4930405A10Rik	0	0	0	0	0	0.14	0	0
4930405A21Rik	0.47	0.94	0.52	0.65	0.38	1.06	0.44	0.39
4930405D11Rik	0	0	0	0	0	0	0	0
4930405J17Rik	0	0	0	0	0	0	0	0
4930405L22Rik	0	0	0	0	0	0	0	0
4930405O22Rik	0	0	0	0.14	0	0.55	0.34	0
4930406D18Rik	0	0	0	0	0	0	0	0
4930407G08Rik	0.17	0	0	0	0	0	0	0
4930407I10Rik	0	0	0	0	0	0	0	0
4930407I19Rik	0.13	0	0	0	0	0	0	0
4930412B13Rik	0	0.09	0	0	0	0	0	0
4930412C18Rik	0.25	0.17	0.49	0.52	0.21	0.31	0.41	0.49
4930412O13Rik	0.03	0.03	0.15	0.06	0.09	0.09	0.33	0.48
4930413E15Rik	0	0	0	0	0	0	0	0
4930413F20Rik	0	0	0.02	0.12	0	0	0	0.12
4930413G21Rik	14.47	14.84	18.95	13.47	9.61	14.76	15.75	17.6
4930413M19Rik	0	0	0	0	0	0	0	0
4930414N06Rik	0	0.22	0.26	0.56	0.25	0	0	0.81
4930415F15Rik	0	0.16	0.18	0.18	0.17	0	0	0.35
4930415L06Rik	0	0	0	0	0	0	0	0
4930415O20Rik	0.65	0.44	0.98	0.24	0.48	0.5	0.41	1.22
4930417O13Rik	0	0	0	0	0	0	0	0
4930417O22Rik	0	0	0	0	0	0	0	0
4930419G24Rik	0	0	0	0.12	0	0	0	0
4930423M02Rik	0	0	0	0	0	0	0	0
4930425K10Rik	0	0	0	0	0	0	0	0
4930425L21Rik	0	0	0	0	0	0	0	0
4930425O10Rik	0	0	0	0	0	0	0	0
4930426D05Rik	0	0	0	0	0	0	0.06	0
4930426L09Rik	1.22	1.99	0.68	0.34	2.65	2.76	0.43	0.59
4930427A07Rik	13.18	10.53	9.54	9.23	12.96	12.66	9.59	8.07
4930428D20Rik	0	0	0	0	0	0	0	0
4930428E07Rik	0	0	0	0	0	0	0	0
4930428G15Rik	0	0	0	0	0	0	0	0
4930428O21Rik	0	0	0	0	0	0.15	0	0
